,0
0,5.187471667717641
1,5.343086025669234
2,5.058828994822931
3,5.387374406764025
4,5.63657962656107
5,4.604771730098194
6,5.987695095870728
7,5.382938480410747
8,5.518931084623234
9,4.994508506714763
10,4.790758287648463
11,5.455207289217466
12,6.672411187705899
13,5.92157785773038
14,6.214881095076966
15,5.128334948430325
16,6.207274382395171
17,5.1955705389132945
18,5.178347276580417
19,5.951302190715981
20,6.649577400236538
21,4.648659592096802
22,5.985147435045991
23,5.626666882093764
24,4.721612549881736
25,4.395657132168559
26,4.976745914846625
27,4.469203280728777
28,5.872994970358778
29,5.475996945794112
30,5.948211224574949
31,5.916036250670984
32,4.876493798184962
33,6.935863680031116
34,4.764213055326939
35,6.106136294237251
36,6.057729068445581
37,5.327412461045802
38,7.563735722620043
39,6.802642226046233
40,5.064564786285039
41,4.805632207469107
42,6.331536999723304
43,4.893645997922717
44,4.508184350819318
45,5.839053878244245
46,5.051373278123247
47,4.402246812727967
48,4.895086421551887
49,5.931334216609844
50,5.920841023536204
51,5.263637677725834
52,4.716679477716886
53,5.058648555722363
54,6.383776669906548
55,5.904686760789688
56,6.614644441658501
57,5.335891771323371
58,5.062297673707534
59,6.17263858145207
60,5.490181769046838
61,5.878817237090622
62,6.178235213781877
63,6.280470889562799
64,5.440324334056776
65,5.362783007996935
66,5.518699294450345
67,6.066098105838229
68,4.6343043346832635
69,5.20492872533229
70,4.223368404843481
71,5.066237582766467
72,5.2508644547492525
73,5.602697485926545
74,4.901157341821367
75,5.225744829685297
76,7.201132468306587
77,6.45321458595968
78,6.38034861107149
79,4.771538829453684
80,5.775156549723952
81,4.863917323967514
82,4.853912540082023
83,5.696390608385636
84,5.906885169280627
85,4.8577488686307015
86,5.967709951454725
87,4.678934924032677
88,4.5673615406610315
89,5.811017565521371
90,4.218506049592638
91,5.752733806815665
92,6.019694640461583
93,5.875118214764041
94,5.4402989538792115
95,4.63066717720772
96,5.6728539726930896
97,5.462986183587563
98,4.9544182526357075
99,5.17553409954142
100,5.938436559131232
101,5.924737081036839
102,6.2821122288546585
103,4.906410651488721
104,6.255359083512299
105,6.307160000914362
106,5.227204667906454
107,5.617602011776284
108,5.499288545831565
109,5.516749182234823
110,5.080845194492359
111,5.044957653630077
112,5.0576564407497955
113,5.185693547364948
114,5.782314234669798
115,5.403831201362735
116,5.571764266511564
117,6.974576256795226
118,4.991428094815651
119,5.28569648890199
120,4.765895498531959
121,4.629791511618879
122,3.841129206557714
123,5.7345089288424855
124,5.3478248961477055
125,4.751258321725467
126,4.918253403889876
127,4.663267474524076
128,5.238756962139029
129,5.743803120996334
130,5.440067534039456
131,5.60959015199413
132,4.9807847415188995
133,7.172811370756898
134,5.231000658675088
135,5.009414979224986
136,5.282830857199444
137,5.31079086382489
138,6.219069506280112
139,5.076870522866836
140,5.422092054929551
141,5.3245010055222695
142,5.873371797563115
143,6.8590406605328935
144,4.666586470298882
145,5.6725075154854006
146,4.665116645093206
147,5.0559896166547995
148,6.416341924369209
149,5.513665465280034
150,7.147448702448864
151,5.443620447090559
152,5.536423816523037
153,5.863082344646546
154,6.12147111229281
155,5.161468569634097
156,4.933623157485709
157,5.141293786421494
158,5.166036728810974
159,5.494869297349348
160,5.4242403884893635
161,6.032280135229636
162,5.647869156828717
163,5.69999386391343
164,5.600736638344019
165,5.743899338890851
166,5.38416405500122
167,4.93529547975747
168,4.407259261281991
169,5.4783934674318475
170,5.73531643274569
171,6.40909857753764
172,4.415679634597741
173,4.9838609883220375
174,7.0541108710562925
175,4.854960953182197
176,4.941674575930377
177,5.2503856185176
178,6.113034499595638
179,5.006912565099197
180,5.831374309619064
181,5.597087985317896
182,5.768136424967047
183,4.656236959234546
184,5.558749279359544
185,5.813757953659063
186,5.441202656083035
187,5.38048492740638
188,5.172329130205331
189,4.5595226774426045
190,5.940522616184216
191,5.500770986831156
192,5.509537700496903
193,5.401637009687994
194,7.348205188724731
195,4.858527975759417
196,5.102593175615269
197,5.20902257876106
198,4.847369270888881
199,5.132262433065415
200,4.898128100248045
201,5.5075551157521145
202,4.506243852816223
203,6.091664036662926
204,4.8028711508278725
205,5.55179189704134
206,5.612948115384838
207,4.7156698101658
208,5.908905587511821
209,4.200776139632847
210,6.50103377786627
211,5.778091463328201
212,4.853665147157053
213,5.133162681963556
214,5.8798843278648825
215,5.2127133894366615
216,5.52203598514178
217,6.657545235834181
218,4.344822323571717
219,4.722134614421961
220,5.978563323463758
221,5.294988690528915
222,6.365514306207201
223,5.780341383352619
224,4.909391256539175
225,4.357342996127359
226,6.086640860743227
227,4.395294989595699
228,4.8341211368294
229,6.68703697894029
230,4.999290435141896
231,5.4934374575564675
232,6.670915352616115
233,4.542254489239422
234,5.970143084719014
235,5.492460574202509
236,5.593091900877191
237,6.412408217994999
238,4.671823871747184
239,6.287048175709635
240,4.7820130056648695
241,5.096152090609051
242,4.480067400457216
243,5.4874551450858755
244,5.227610771282859
245,7.41339071644581
246,6.038839088790673
247,5.950953209906589
248,5.278541158076634
249,5.093308505546885
250,5.430396294465879
251,6.035415833161841
252,5.334380932886895
253,4.738121363305718
254,5.336034645724247
255,5.320587004674369
256,5.395570097005706
257,4.691062451909688
258,5.120536253064758
259,4.335454659402115
260,5.083555760252133
261,5.186862881747516
262,4.82020592351808
263,5.4717673227656425
264,4.966325006543999
265,5.498887882204701
266,4.6360573608030675
267,4.488379301400419
268,5.617847225683408
269,5.301110454273502
